acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,decade
0.952,0.383,0.0859,0.0076,0.0963,0.6707,0.0402,0.3596,0.399,1930
0.991,0.751,0.134,0.0074,0.13,0.7333,0.446,0.333,0.459,1930
0.974,0.34,0.515,0.0001,0.548,0.7914,0.0539,0.5647,0.45,1930
0.965,0.609,0.356,0.427,0.217,0.7285,0.0637,0.3354,0.825,1930
0.712,0.67,0.15,0.0,0.123,0.634,0.958,0.6038,0.474,1930
0.973,0.546,0.058,0.625,0.288,0.6803,0.0476,0.6121,0.69,1930
0.909,0.211,0.178,0.917,0.0861,0.6759,0.0415,0.3044,0.0359,1930
0.971,0.357,0.432,0.0,0.265,0.7683,0.13,0.2637,0.62,1930
0.918,0.21,0.174,0.903,0.351,0.7417,0.0347,0.3316,0.118,1930
0.333,0.714,0.178,0.0,0.27,0.6964,0.892,0.5353,0.552,1930
0.993,0.235,0.156,0.006,0.0702,0.6353,0.0553,0.3478,0.0394,1930
0.779,0.158,0.119,0.749,0.118,0.7022,0.0347,0.2335,0.0884,1930
0.952,0.404,0.167,0.066,0.235,0.6603,0.0402,0.5719,0.394,1930
0.965,0.597,0.315,0.0001,0.291,0.7515,0.061,0.4482,0.617,1930
0.99,0.516,0.447,0.164,0.213,0.7618,0.0323,0.3696,0.675,1930
0.982,0.637,0.211,0.0,0.0927,0.7103,0.134,0.4743,0.644,1930
0.25,0.711,0.121,0.0,0.171,0.638,0.923,0.5271,0.688,1930
0.747,0.716,0.195,0.0,0.464,0.6012,0.953,0.4547,0.534,1930
0.192,0.745,0.0924,0.0,0.187,0.6249,0.883,0.4466,0.741,1930
0.353,0.665,0.113,0.0,0.147,0.671,0.896,0.3349,0.746,1930
0.743,0.716,0.216,0.0,0.393,0.6058,0.935,0.5165,0.513,1930
0.995,0.501,0.341,0.0117,0.418,0.7593,0.0814,0.4505,0.621,1930
0.267,0.71,0.135,0.0,0.221,0.6642,0.932,0.344,0.71,1930
